"";"";"";"";"something";""
"1";"something";"1.2538130631521";"-0.0304106845240862";"1.57439267886855";"22"
"2";"different";"0.988487907531876";"-0.132448893811245";"1.54132556849695";"25"
"3";"being";"0.985446626842278";"0.142328287731296";"1.43169162506933";"41"
"4";"their";"0.574740265864918";"0.257634297134618";"1.36391014975042";"50"
"5";"about";"0.294551034840666";"-0.288346368291961";"1.35439267886855";"54"
"6";"should";"1.21291817396594";"-0.187422714959813";"1.3210205213533";"59"
"7";"become";"1.20610570522124";"0.428078171695479";"1.3210205213533";"61"
"8";"so";"0.670827628153112";"-0.320841268526045";"1.24695507487521";"75"
"9";"with";"-0.0502946898972637";"-0.167692030395009";"1.21809761508597";"76"
"10";"because";"0.993962212773153";"-0.627047820587819";"1.21614531336661";"77"
"11";"could";"0.861912073750536";"0.0690645864533184";"1.191436494731";"80"
"12";"don_t";"0.756271962532443";"0.625954512086228";"1.17227953410982";"84"
"13";"allows";"0.913029012173408";"-0.0555051546993134";"1.14988907376595";"85"
"14";"together";"0.906216543428708";"0.559995731955978";"1.14988907376595";"86"
"15";"done";"1.21632440833829";"-0.495173158287459";"1.14464226289517";"88"
"16";"one";"0.343559341981282";"-0.401388073310612";"1.10565723793677";"92"
"17";"how";"0.228733915046349";"-0.244495475424399";"1.0998003327787";"94"
"18";"someone";"0.98118883387684";"0.527016341890854";"0.901580698835275";"123"
"19";"everyone";"0.98118883387684";"0.527016341890854";"0.901580698835275";"124"
"20";"probably";"0.98118883387684";"0.527016341890854";"0.901580698835275";"127"
"21";"themselves";"0.623358553497928";"-0.846838924421752";"0.883399889073766";"133"
"22";"seeing";"0.431670034412159";"-0.379702395099383";"0.875651691625069";"138"
"23";"name";"0.431670034412159";"-0.379702395099383";"0.875651691625069";"139"
"24";"others";"0.248497101257266";"-0.681941974096128";"0.870465890183028";"145"
"25";"particularly";"0.606327381636178";"0.691913292216478";"0.841059345535219";"164"
"26";"latter";"0.606327381636178";"0.691913292216478";"0.841059345535219";"166"
"27";"everything";"0.606327381636178";"0.691913292216478";"0.841059345535219";"167"
"28";"couldn_t";"0.606327381636178";"0.691913292216478";"0.841059345535219";"169"
"29";"comes";"0.606327381636178";"0.691913292216478";"0.841059345535219";"170"
"30";"apart";"0.606327381636178";"0.691913292216478";"0.841059345535219";"171"
"31";"merely";"0.326875626077748";"-1.0226718074889";"0.835263449805879";"177"
"32";"however";"0.117866226556462";"-0.11405891844151";"0.83483638380477";"181"
"33";"try";"0.192512440671207";"-0.43856352167272";"0.834226289517471";"184"
"34";"novel";"0.192512440671207";"-0.43856352167272";"0.834226289517471";"185"
"35";"needs";"0.192512440671207";"-0.43856352167272";"0.834226289517471";"186"
"36";"every";"0.192512440671207";"-0.43856352167272";"0.834226289517471";"187"
